phase,roundIndex,workflow,outputs,participants,meanOverallQuality,sdOverallQuality
main,5,ai,4,4,3.75,0.1666666666666667
main,5,ai_human,9,9,3.8148148148148144,0.5030769521187454
main,5,human,5,5,2.7333333333333334,0.4346134936801766
main,5,human_ai,6,6,3.6111111111111107,0.7428673177976345
main,6,ai,9,9,3.518518518518518,0.4120110270608702
main,6,ai_human,3,3,3.888888888888889,0.3849001794597504
main,6,human,7,7,2.952380952380952,0.5587211398983504
main,6,human_ai,5,5,2.8,0.6912147117775906
main,7,ai,5,5,3.5333333333333328,0.298142396999972
main,7,ai_human,10,10,3.9,0.6095940766375646
main,7,human,4,4,2.75,0.6871842709362768
main,7,human_ai,5,5,3.333333333333333,0.7817359599705715
practice,1,ai,9,9,3.407407407407407,0.40061680838488767
practice,1,ai_human,4,4,3.75,0.3191423692521128
practice,1,human,6,6,2.5555555555555554,0.8606629658238704
practice,1,human_ai,4,4,3.333333333333333,0.2721655269759086
practice,2,ai,4,4,3.9166666666666665,0.5000000000000002
practice,2,ai_human,9,9,3.8148148148148144,0.6478835438717002
practice,2,human,6,6,3.0,0.6992058987801013
practice,2,human_ai,5,5,3.6,0.9249624617007737
practice,3,ai,5,5,3.1999999999999997,0.5577733510227171
practice,3,ai_human,5,5,3.333333333333333,0.6666666666666666
practice,3,human,6,6,3.388888888888889,0.6469300723559838
practice,3,human_ai,7,7,3.333333333333333,0.6666666666666666
practice,4,ai,5,5,4.066666666666667,0.3651483716701111
practice,4,ai_human,5,5,4.2,0.38005847503304596
practice,4,human,6,6,3.5,1.0697871023920804
practice,4,human_ai,8,8,3.0416666666666665,0.7855338898249343
